author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
Владис;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/299506601/;Дзержинский;5;9;1;33,3;5600000;1967;12 ;6 ;; Лернтова;Котельники;
БЕСТ на Октябрьской;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306183554/;Дзержинский;18;18;1;45,3;8350000;2014;19,8 ;12,4 ;;Угрешская ;Котельники;Угрешская
ID 114565052;homeowner;https://dzerzhinsky.cian.ru/sale/flat/299960469/;Дзержинский;15;16;1;45,0;6800000;2004;19,2 ;11,3 ;;Угрешская ;Котельники;
ID 18655135;realtor;https://dzerzhinsky.cian.ru/sale/flat/291968752/;Дзержинский;1;10;1;34,8;5990000;1999;16,9 ;8 ;;Лесная ;Котельники;
Этажи Москва;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308621699/;Дзержинский;5;23;1;38,9;7700000;2003;20,9 ;8,6 ;;Угрешская ;Котельники;
ID 11255474;homeowner;https://dzerzhinsky.cian.ru/sale/flat/307574220/;Дзержинский;8;14;1;35,0;6250000;1989;18 ;9 ;;Толинская ;Котельники;
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/296457728/;Дзержинский;3;18;1;56,9;9500000;2004;15,7 ;22,8 ;;Угрешская ;Котельники;Лесные озёра
CENTURY 21 Перспектива;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/301025826/;Дзержинский;5;14;1;38,9;7800000;1997;20,9 ;8,6 ;;Угрешская ;Котельники;
Планета-312;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307229333/;Дзержинский;7;9;1;34,7;6300000;1976;-1,0;7 ;;Лесная ;Котельники;
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/297531419/;Дзержинский;1;9;1;315,0;6000000;1971;15,5 ;7 ;; Лернтова;Котельники;
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/305142975/;Дзержинский;9;15;1;49,7;8000000;1999;20,1 ;15,9 ;;Угрешская ;Котельники;
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/303468899/;Дзержинский;8;15;1;52,3;7900000;-1;20,1 ;17,4 ;;Угрешская ;Котельники;Лесные озёра
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/279204440/;Дзержинский;5;5;1;317,0;5750000;1963;18,2 ;6 ;Дзержинский;Дзержинская ;;
Анна Киселева;realtor;https://dzerzhinsky.cian.ru/sale/flat/307862945/;Дзержинский;12;18;1;49,5;8900000;2004;-1,0;16 ;;Угрешская ;Котельники;Лесные озёра
ID 59537137;homeowner;https://dzerzhinsky.cian.ru/sale/flat/306995155/;Дзержинский;1;5;1;30,0;5900000;1965;-1,0;5 ;; Лернтова;Котельники;
МИРА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/303711944/;Дзержинский;3;5;1;31,0;6000000;-1;18 ;6 ;; Лернтова;Котельники;
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/305573627/;Дзержинский;2;17;1;37,6;7400000;-1;18,9 ;8,3 ;;Угрешская ;Котельники;
ID 77277199;homeowner;https://dzerzhinsky.cian.ru/sale/flat/280070190/;Дзержинский;8;17;1;60,9;8200000;-1;21,9 ;19,1 ;Дзержинский; Доркина;;по ул. Угрешская
