author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
Анна Озерецковская;realtor;https://www.cian.ru/sale/flat/309105789/;Москва;5;12;3;63,5;21500000;1973;-1,0;6,5 ;Зюзино;Сивашская ;Нахивский проспект;
ID 89413947;realtor;https://www.cian.ru/sale/flat/309105751/;Москва;6;10;1;48,0;6300000;2024;18 ;12 ;;;Потапово;Воскресенское
НОВОСЁЛ;real_estate_agent;https://www.cian.ru/sale/flat/309105718/;Москва;1;14;1;34,3;12500000;1973;17 ;10 ;Филевский парк;Тучковская ;Фили;
Stapler Estate;real_estate_agent;https://www.cian.ru/sale/flat/309105692/;Москва;19;21;4;140,0;187990000;2023;95 ;10 ;Пресненский;2-я Звенигородская ;Улица 1905 года;Lucky
Stapler Estate;real_estate_agent;https://www.cian.ru/sale/flat/309105690/;Москва;17;21;4;185,0;191490000;2023;161 ;19 ;Пресненский; Костикова;Улица 1905 года;Lucky
Stapler Estate;real_estate_agent;https://www.cian.ru/sale/flat/309105688/;Москва;4;14;3;93,0;52000000;2022;70 ;15 ;Ранки;проспект Генерала Дорохова;Минская;Собрание клубных дов West Garden
Центральный Департант Недвижисти;real_estate_agent;https://www.cian.ru/sale/flat/309105609/;Москва;11;12;1;33,0;11500000;1972;17 ;8 ;Коньково;Профсоюзная ;Беляево;
Елена Соколова;realtor;https://www.cian.ru/sale/flat/309105498/;Москва;2;5;2;42,6;12980000;-1;25,4 ;6 ;Южное Тушино;проезд Донелайтиса;Сходненская;
СниКварти.Ру;real_estate_agent;https://www.cian.ru/sale/flat/309105469/;Москва;18;25;2;60,0;19990000;2019;35 ;15 ;Орехово-Борисово Южное; Генерала Белова;Додедовская;
ID 13413458;unknown;https://www.cian.ru/sale/flat/309105404/;Москва;18;40;3;109,0;64200000;2012;52,7 ;18,3 ;Обручевский;Профсоюзная ;Новые Черёшки;Дирижабль
ПИК;developer;https://www.cian.ru/sale/flat/309105338/;Москва;29;33;1;38,7;14727517;2023;11 ;-1,0;Очаково-Матвеевское; Малая Очаковская;Озёрная;Мичуринский парк
ID 70422271;homeowner;https://www.cian.ru/sale/flat/309105255/;Москва;18;33;1;236,0;13200000;2024;11,6 ;5,9 ;Бутырский;к2.3;Бутырская;Руставели 14 ЖК
Евгений Болдырев;realtor;https://www.cian.ru/sale/flat/309105107/;Москва;3;21;4;120,0;200000000;-1;-1,0;15 ;Хавники;Сеченовский переулок;Кропоткинская;
ID 113427601;homeowner;https://www.cian.ru/sale/flat/309105060/;Москва;6;8;-1;16,0;7400000;-1;10 ;3 ;Преображенское;Электрозаводская ;Электрозаводская;
ID 128130;realtor;https://www.cian.ru/sale/flat/309104957/;Москва;2;3;2;56,4;27700000;1926;35 ;9 ;Красносельский;Русаковская ;Красносельская;
ID 4149838;realtor;https://www.cian.ru/sale/flat/309104849/;Москва;11;12;1;38,7;9000000;2002;21 ;9 ;Люблино; Судакова;Люблино;
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/309104843/;Москва;3;4;2;70,0;60000000;2016;-1,0;30 ;Заскворечье;Садовническая ;Новокузнецкая;Wine House
ID 123734402;homeowner;https://www.cian.ru/sale/flat/309104840/;Москва;2;12;2;44,4;12200000;1974;28,8 ;6,5 ;Выхино-Жулебино;Рязанский проспект;Выхино;
ID 12658609;realtor;https://www.cian.ru/sale/flat/309104836/;Москва;17;17;2;54,2;12500000;-1;32,3 ;8,8 ;Некрасовка;Рождественская ;Некрасовка;
SC Realty;real_estate_agent;https://www.cian.ru/sale/flat/309104771/;Москва;2;8;-1;158,0;6300000;1962;-1,0;3 ;Савеловский;Бутырская ;Дтровская;
ID 24909062;real_estate_agent;https://www.cian.ru/sale/flat/309104741/;Москва;25;25;3;78,4;21500000;-1;40,5 ;22,5 ;Люблино;Люблинская ;Перерва;Люблинский парк
Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/309104736/;Москва;12;12;1;39,0;10800000;1975;21 ;9 ;Чертаново Южное;Россошанский проезд;Улица Акадека Янгеля;
ID 4149838;realtor;https://www.cian.ru/sale/flat/309104725/;Москва;6;12;2;58,0;14200000;2002;30,4 ;11,9 ;Люблино; Судакова;Люблино;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/309104709/;Москва;18;42;4;137,7;97767000;2022;85 ;30 ;Хорошевский;Ленинградский проспект;Аэропорт;ПрайПарк
ID 48559663;homeowner;https://www.cian.ru/sale/flat/309104641/;Москва;6;9;3;58,0;16200000;1972;-1,0;6 ;Коньково; Островитянова;Беляево;
ID 123734477;homeowner;https://www.cian.ru/sale/flat/309104587/;Москва;5;16;1;35,6;7800000;-1;19,3 ;8,1 ;Бирюлево Восточное;Михневский проезд;Царицыно;
ID 88327099;homeowner;https://www.cian.ru/sale/flat/309104549/;Москва;30;78;2;60,0;51000000;2020;-1,0;30 ;Пресненский;1-й Красногвардейский проезд;Москва-Сити;NEVA TOWERS
ID 81719643;realtor;https://www.cian.ru/sale/flat/309104358/;Москва;1;5;2;54,0;18990000;-1;-1,0;-1,0;Лоносовский; Строителей;;
ИНКОМ-Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309104302/;Москва;13;28;2;33,5;16000000;-1;20,2 ;6,4 ;Богородское;Открытое шоссе;Бульвар Рокоссовского;Талисн на Рокоссовского
ИНКОМ-Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309104301/;Москва;8;24;2;60,3;16200000;-1;40 ;10 ;Бирюлево Восточное;6-я Радиальная ;Каспийская;Царицыно-2
ID 81719643;realtor;https://www.cian.ru/sale/flat/309104298/;Москва;13;21;2;56,0;23900000;-1;-1,0;-1,0;Дтровский;Дтровское шоссе;;
Риэлти-Город;real_estate_agent;https://www.cian.ru/sale/flat/309104178/;Москва;11;19;1;36,3;15970000;2015;19 ;9 ;Акадеческий; Дтрия Ульянова;Акадеческая;
ID 123734637;homeowner;https://www.cian.ru/sale/flat/309104167/;Москва;12;17;3;86,0;22330000;2002;56 ;11 ;Бескудниковский;Дубнинская ;Дегунино;
CityLions;real_estate_agent;https://www.cian.ru/sale/flat/309104142/;Москва;2;14;1;42,0;14500000;-1;20 ;12 ;; Зеленая Горка;Говорово;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/309104111/;Москва;2;6;2;75,8;33990000;2000;47,4 ;14,4 ;Перово;1-я Владирская ;Перово;
ID 11035382;unknown;https://www.cian.ru/sale/flat/309104024/;Москва;9;9;2;43,4;9000000;1970;28 ;9 ;Вешняки;Снайперская ;Вешняки;
Диалог Риэлт;real_estate_agent;https://www.cian.ru/sale/flat/309103997/;Москва;5;5;2;60,0;12000000;1957;37,1 ;7,4 ;Лосиноостровский;Анадырский проезд;Бабушкинская;
Наталия Никишева;realtor;https://www.cian.ru/sale/flat/309103955/;Москва;2;17;2;58,7;14200000;2008;34 ;10 ;Можайский;Беловежская ;Сетунь;
Дтрий Некипелов;realtor;https://www.cian.ru/sale/flat/309103937/;Москва;6;9;-1;45,0;7500000;1976;29 ;6 ;Коньково;Миклухо-Маклая ;Беляево;
ID 69543;realtor;https://www.cian.ru/sale/flat/309103860/;Москва;6;8;3;56,0;17200000;1961;39 ;5,5 ;Щукино; Галеи;Щукинская;
Александр Асташкин;realtor;https://www.cian.ru/sale/flat/309103852/;Москва;3;11;3;77,1;35500000;1959;55,1 ;8 ;Дороголово; Генерала Ерлова;Парк Победы;
Светлана Чернухина;realtor;https://www.cian.ru/sale/flat/309103757/;Москва;9;9;3;60,0;11700000;1973;45 ;7 ;Бирюлево Западное;Медынская ;Пражская;
Наталия Коарова;realtor;https://www.cian.ru/sale/flat/309103738/;Москва;5;10;2;54,4;26000000;-1;32 ;8 ;Дороголово;Кутузовский проспект;Кутузовская;
Лабецкий Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309103631/;Москва;1;6;-1;166,0;5770000;1959;5,6 ;6 ;Останкинский;Мурнский проезд;Марьина Роща;
ID 300271;realtor;https://www.cian.ru/sale/flat/309103573/;Москва;3;12;2;51,5;20250000;2000;30,6 ;10 ;Беговой;Беговая ;Беговая;
Золотой Ключ;real_estate_agent;https://www.cian.ru/sale/flat/309103548/;Москва;9;9;1;36,2;7950000;1973;21 ;6,5 ;Люблино;Краснодарская ;Депо;
ID 94665138;homeowner;https://www.cian.ru/sale/flat/309103545/;Москва;9;41;1;42,0;28000000;2023;12 ;20 ;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/309103538/;Москва;14;14;5;180,0;59000000;1994;80 ;16 ;Черешки; Гарибальди;Новые Черёшки;
ID 95205876;homeowner;https://www.cian.ru/sale/flat/309103518/;Москва;9;9;1;34,7;10100000;-1;19,8 ;6,4 ;Гольяново;Алтайская ;Щёлковская;
ID 122573;real_estate_agent;https://www.cian.ru/sale/flat/309103455/;Москва;7;12;1;35,0;8800000;-1;18 ;7 ;Можайский;Барвихинская ;Сетунь;
ID 123117778;homeowner;https://www.cian.ru/sale/flat/309103320/;Москва;6;22;-1;64,5;14800000;2022;-1,0;12,3 ;;Родниковая ;Саларьево;Рунцево-Парк
Салет;developer;https://www.cian.ru/sale/flat/309103194/;Москва;1;12;2;52,8;10216800;2022;30,2 ;11,8 ;; Логинова;Щербинка;Остафьево
ID 111586473;homeowner;https://www.cian.ru/sale/flat/309085667/;Москва;5;5;2;43,6;9800000;1960;29,3 ;5,6 ;Перово;1-я Владирская ;Перово;
KUNTSEVO;real_estate_agent;https://www.cian.ru/sale/flat/309085645/;Москва;15;25;4;235,0;78000000;2000;180 ;20 ;Можайский;Можайское шоссе;Кунцевская;
Василий Дулько;realtor;https://www.cian.ru/sale/flat/309085580/;Москва;19;25;2;69,6;23000000;-1;39,2 ;10 ;Северное Тушино; Свободы;Планерная;
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309084568/;Москва;13;14;4;149,0;130000000;1956;90 ;27 ;Пресненский;Газетный переулок;Охотный ряд;Дов Газетном
ID 105571595;realtor;https://www.cian.ru/sale/flat/309089259/;Москва;19;31;2;39,0;18900000;2024;-1,0;20 ;Марфино;Ботаническая ;Владыкино;VERY
NEEDвижисть Москвы;real_estate_agent;https://www.cian.ru/sale/flat/309089099/;Москва;33;42;3;88,6;39200000;2024;46,5 ;20,5 ;Даниловский;Дубининская ;Серпуховская;Павелецкая Сити
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/309089089/;Москва;16;21;4;125,2;80000000;-1;-1,0;44,2 ;Марьина роща;1-я Якая ;Марьина Роща;Преуквартал JAZZ
ID 16242;realtor;https://www.cian.ru/sale/flat/309089083/;Москва;14;30;3;115,0;51000000;2004;48 ;20 ;Сокол; Врубеля;Панфиловская;Поселок художников
Nikoliers.Офисная и складская недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309088865/;Москва;8;10;2;57,5;18975000;2024;-1,0;3 ;Головинский;Михалковская ;Коптево;Апарт-колекс Monodom Lake
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309088765/;Москва;32;57;4;180,0;183000000;2006;112 ;15 ;Хорошевский;Чапаевский переулок;Аэропорт;Триу-Палас
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309088760/;Москва;16;22;2;74,4;36500000;2003;34 ;20 ;Тропарево-Никулино;проспект Вернадского;Тропарёво;Корона
МаксиВахонин;realtor;https://www.cian.ru/sale/flat/309088712/;Москва;4;15;5;175,4;266700000;-1;-1,0;20 ;Хавники;Олсуфьевский переулок;Фрунзенская;White Khamovniki
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/309088649/;Москва;2;15;3;102,0;21000000;1998;62 ;12 ;Выхино-Жулебино;Привольная ;Жулебино;
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/309088647/;Москва;11;22;3;105,4;30900000;1999;85 ;10,1 ;Марьино;Братиславская ;Братиславская;
ID 123720274;homeowner;https://www.cian.ru/sale/flat/309088629/;Москва;1;3;1;297,0;1600000;-1;15 ;5 ;Тверской;Креевская набережная;Александровский сад;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309088484/;Москва;2;5;-1;15,0;4699999;1970;-1,0;13 ;Текстильщики; Артюхиной;Текстильщики;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309088470/;Москва;4;9;2;42,0;11700000;1969;-1,0;5 ;Богородское;бульвар Маршала Рокоссовского;Бульвар Рокоссовского;
Салет плюс;real_estate_agent;https://www.cian.ru/sale/flat/309088460/;Москва;5;17;2;33,9;10900000;2018;20 ;7 ;; Бачуринская;Бачуринская;Новая Звезда
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309088459/;Москва;13;17;1;42,0;11300000;2010;-1,0;9 ;;;Рассказовка;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309088446/;Москва;7;12;1;35,0;11350000;1966;-1,0;9,6 ;Южное Медведково;Ясный проезд;Медведково;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309088431/;Москва;9;14;1;35,0;12500000;1972;-1,0;10 ;Восточное Дегунино;Дубнинская ;Дегунино;
MRealty.Moscow;real_estate_agent;https://www.cian.ru/sale/flat/309088426/;Москва;14;21;3;115,0;129000000;2017;55 ;20 ;Пресненский;2-я Черногрязская ;Улица 1905 года;RedSide
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309088411/;Москва;2;5;1;20,0;8000000;-1;-1,0;10 ;Марфино;Гостиничная ;Окружная;Апартанты Алтай
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309088401/;Москва;5;15;1;33,0;11000000;1977;-1,0;7 ;Котловка;Нахивский проспект;Нахивский проспект;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309088390/;Москва;5;25;1;52,0;23450000;2015;-1,0;15 ;Хорошево-Мневники; Народного Ополчения;Народное Ополчение;Wellton park
Сергей Сасик;realtor;https://www.cian.ru/sale/flat/309088367/;Москва;13;14;2;38,3;10700000;1971;23,8 ;6,2 ;Лосиноостровский;Челюскинская ;Медведково;
ID 122447755;homeowner;https://www.cian.ru/sale/flat/309088249/;Москва;2;5;2;41,2;13300000;1963;27 ;6 ;Ивановское;Федеративный проспект;Новогиреево;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/309088244/;Москва;4;9;2;35,0;16000000;1965;20 ;6 ;Баснный;Спартаковский переулок;Баунская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/309088241/;Москва;3;5;2;42,0;13000000;1968;27,5 ;6 ;Выхино-Жулебино;Ташкентская ;Юго-Восточная;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/309088231/;Москва;12;14;2;48,8;13000000;1970;28,7 ;9 ;Выхино-Жулебино;Ташкентская ;Юго-Восточная;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/309088228/;Москва;5;18;2;36,0;11299999;2023;13,5 ;17,5 ;;;Рунцево;Тропарево Парк
Владис;real_estate_agent;https://www.cian.ru/sale/flat/309088225/;Москва;1;17;3;77,2;11200000;2023;43 ;10,7 ;; Текстильщиков;Троицк;Троицк Е-39 (Фаворит)
Владис;real_estate_agent;https://www.cian.ru/sale/flat/309088211/;Москва;4;4;1;32,0;7100000;1964;20 ;6 ;; Авиаторов;Щербинка;
Студии в ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/309088078/;Москва;2;6;1;24,0;18520000;1928;-1,0;-1,0;Тверской;Козицкий переулок;Пушкинская;
ID 22278956;realtor;https://www.cian.ru/sale/flat/309082882/;Москва;2;9;2;46,0;13250000;1967;30 ;7 ;Очаково-Матвеевское;Матвеевская ;Матвеевская;
Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/309082812/;Москва;7;17;2;51,7;15900000;2002;30,3 ;9,8 ;Южное Тушино;Лодочная ;Сходненская;
Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/309082808/;Москва;6;9;1;32,0;11000000;1963;-1,0;9 ;Черешки;Профсоюзная ;Профсоюзная;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/309081867/;Москва;17;17;2;82,1;48500000;2014;42 ;16 ;Ранки;Мосфильвская ;Матвеевская;Мосфильвский
ID 12747325;homeowner;https://www.cian.ru/sale/flat/309081792/;Москва;6;9;1;32,8;11300000;1967;17,8 ;7,7 ;Бутырский; Яблочкова;Тирязевская;
БЕСТ на Проспекте Мира;real_estate_agent;https://www.cian.ru/sale/flat/309087973/;Москва;4;14;1;36,0;10500000;2019;15 ;10,4 ;Северный;Долгопрудная аллея;Долгопрудная;Мой адрес в Северном
Креёвские Ключи;real_estate_agent;https://www.cian.ru/sale/flat/309087916/;Москва;20;25;2;56,3;15990000;2001;32,8 ;10 ;Выхино-Жулебино;Волгоградский проспект;Юго-Восточная;
Креёвские Ключи;real_estate_agent;https://www.cian.ru/sale/flat/309087909/;Москва;4;9;1;35,9;8990000;2019;20 ;8,5 ;; Харлаиева;Филатов Луг;Спортивный квартал
ID 116584000;homeowner;https://www.cian.ru/sale/flat/309087903/;Москва;3;13;2;63,0;105000000;2022;47 ;13 ;Хавники; Усачева;Спортивная;Садовые кварталы
ID 81774710;homeowner;https://www.cian.ru/sale/flat/309087884/;Москва;3;3;2;55,0;8500000;-1;-1,0;12 ;;бульвар Светлый;Филатов Луг;
КОРТРОС;real_estate_agent;https://www.cian.ru/sale/flat/309087855/;Москва;9;27;3;80,4;32000000;2023;50 ;23 ;Пресненский;Штовский проезд;Шелепиха;Headliner
Игорь Белоусов;realtor;https://www.cian.ru/sale/flat/309087820/;Москва;11;16;1;39,0;13990000;1970;28 ;6,5 ;Нагатинский затон;проспект Андропова;Колонская;
ID 123719406;homeowner;https://www.cian.ru/sale/flat/309087809/;Москва;6;7;2;38,0;21000000;2021;26 ;10 ;Даниловский; Архитектора Щусева;ЗИЛ;ЗИЛАРТ
Лидия Бахарева;realtor;https://www.cian.ru/sale/flat/309087695/;Москва;11;14;2;53,5;12990000;-1;31,9 ;9,7 ;Люблино;Краснодонская ;Люблино;
StateMarks;real_estate_agent;https://www.cian.ru/sale/flat/309087667/;Москва;3;29;5;400,0;261198540;2001;180 ;20 ;Проспект Вернадского;Ленинский проспект;Новаторская;Квартал на Ленинском
ИНКОМ-Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309087665/;Москва;16;19;2;54,7;20400000;2018;32 ;8 ;Акадеческий; Дтрия Ульянова;Акадеческая;
ИНКОМ-Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309087660/;Москва;6;21;3;79,4;26000000;2024;50,2 ;12,3 ;Хорошевский; Зорге;Полежаевская;Рихард
ИНКОМ-Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309087658/;Москва;4;5;3;65,6;54500000;-1;45 ;8,7 ;Пресненский; Спиридоновка;Пушкинская;
ИНКОМ-Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309087656/;Москва;11;17;3;74,0;20000000;-1;44,8 ;10,1 ;Царицыно;Кавказский бульвар;Кавказский бульвар;
ID 101523799;realtor;https://www.cian.ru/sale/flat/309087623/;Москва;4;26;1;57,1;21850000;-1;25,5 ;17,7 ;Хорошевский;проезд Березовой Рощи;ЦСКА;Гранд-парк
ID 123719207;homeowner;https://www.cian.ru/sale/flat/309087413/;Москва;14;16;3;65,1;17000000;1978;46,8 ;8,1 ;Теплый Стан; Генерала Тюленева;Генерала Тюленева;
ID 89387465;homeowner;https://www.cian.ru/sale/flat/309087409/;Москва;1;15;1;193,0;7000000;2021;10 ;5 ;НАО (Новосковский); Чароитовая;;
Салет плюс;real_estate_agent;https://www.cian.ru/sale/flat/309087405/;Москва;8;10;1;20,0;6750000;-1;15 ;-1,0;Выхино-Жулебино;Рязанский проспект;Выхино;
ФЛИП;real_estate_agent;https://www.cian.ru/sale/flat/309087362/;Москва;5;12;3;64,7;13900000;1969;44,6 ;9,2 ;Богородское;Ивантеевская ;Бульвар Рокоссовского;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309087352/;Москва;19;24;1;315,0;10400000;2019;-1,0;10 ;; Бачуринская;Ольховая;Новая Звезда
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309087330/;Москва;2;9;2;44,1;13990000;1976;-1,0;6 ;Зябликово;Ореховый бульвар;Красногвардейская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309087311/;Москва;4;14;1;39,0;10500000;2022;14,7 ;17,6 ;; Фитаревская;Ольховая;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309087295/;Москва;12;12;2;39,0;12600000;1967;24 ;7 ;Бутырский; Гончарова;Тирязевская;
ID 319089;unknown;https://www.cian.ru/sale/flat/309086859/;Москва;5;5;-1;63,5;8000000;1956;36,6 ;8,3 ;Ростокино; Бажова;Ростокино;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/309086725/;Москва;13;32;2;77,5;39500000;2021;48,1 ;11,5 ;Черешки;Херсонская ;Зюзино;ONYX Deluxe
МГСН;real_estate_agent;https://www.cian.ru/sale/flat/309086714/;Москва;5;9;2;38,0;12000000;-1;23 ;8 ;Ростокино;проспект Мира;Ростокино;
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/309086654/;Москва;3;19;3;82,6;18300000;-1;45,5 ;12 ;; Александры Монаховой;Потапово;
Nikoliers.Офисная и складская недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309086591/;Москва;8;10;4;107,8;35500000;2024;-1,0;3 ;Головинский;Михалковская ;Коптево;Апарт-колекс Monodom Lake
YU HOME;real_estate_agent;https://www.cian.ru/sale/flat/309086536/;Москва;6;12;1;35,1;11400000;1972;19,5 ;7,5 ;Преображенское;Знанская ;Преображенская площадь;
VIСTORY GROUP;real_estate_agent;https://www.cian.ru/sale/flat/309086516/;Москва;5;7;3;125,4;155500000;2023;77 ;14 ;Таганский;Тессинский переулок;Чкаловская;Тессинский, 1
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/309080528/;Москва;3;5;3;77,9;29000000;-1;52,5 ;8,7 ;Акадеческий; Шверника;Акадеческая;
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309080522/;Москва;5;8;-1;369,0;548230000;2015;300 ;40 ;Хавники; Ефрева;Спортивная;Knightsbridge Private Park
ФЛИП;real_estate_agent;https://www.cian.ru/sale/flat/309080516/;Москва;7;12;1;35,0;8300000;1973;18 ;7 ;Выхино-Жулебино;Ферганская ;Юго-Восточная;
Ирэна Ардаширова;realtor;https://www.cian.ru/sale/flat/309078897/;Москва;9;9;3;84,2;19800000;2022;61 ;13,5 ;;бульвар Андрея Тарковского;Рассказовка;Рассказово
ID 31778522;realtor;https://www.cian.ru/sale/flat/309086468/;Москва;16;26;2;66,0;20990000;2018;32 ;14 ;Рязанский;2-й Грайвороновский проезд;Стахановская;Кварталы 21/19
Светлана Алексеева;realtor;https://www.cian.ru/sale/flat/309086427/;Москва;4;9;1;32,8;10500000;-1;19 ;7 ;Орехово-Борисово Северное;Шипиловская ;Орехово;
Кирилл Колодный;realtor;https://www.cian.ru/sale/flat/309086421/;Москва;4;9;1;32,6;9900000;1969;18,7 ;6,7 ;Богородское;2-я Прогонная ;Преображенская площадь;
ГК  LER GROUP;official_representative;https://www.cian.ru/sale/flat/309086395/;Москва;1;4;2;43,1;13231700;2014;-1,0;7 ;Покровское-Стрешнево;Летная ;Тушинская;
ID 71498069;unknown;https://www.cian.ru/sale/flat/309086358/;Москва;9;11;4;130,0;70000000;2011;-1,0;15,6 ;Щукино; Маршала Рыбалко;Панфиловская;Маршал
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/309086330/;Москва;9;16;2;53,1;20500000;1983;31,7 ;8,3 ;Марьина роща;Новосущевская ;Достоевская;
ID 119305034;homeowner;https://www.cian.ru/sale/flat/309086311/;Москва;1;4;1;33,0;7500000;1962;19 ;6 ;; Театральная;Щербинка;
Простор-недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309086269/;Москва;5;15;1;36,0;9200000;2020;16 ;9 ;;бульвар Скандинавский;Ольховая;
ID 117486548;homeowner;https://www.cian.ru/sale/flat/309086267/;Москва;8;15;1;259,0;8700000;2018;17 ;7 ;; Василия Ощепкова;Новосковская;Москвичка
ID 64346553;homeowner;https://www.cian.ru/sale/flat/309086256/;Москва;15;17;1;38,1;12500000;1988;-1,0;8,6 ;Солнцево;Солнцевский проспект;Солнцево;
Вера Курбасова;realtor;https://www.cian.ru/sale/flat/309086217/;Москва;16;39;2;47,0;26500000;2020;25 ;9 ;Акадеческий;проспект 60-летия Октября;Акадеческая;Новые Черешки
ID 12369177;real_estate_agent;https://www.cian.ru/sale/flat/309086157/;Москва;9;16;3;114,0;15000000;2012;65 ;17 ;; Дзержинского;Кокошкино;
Арбат;real_estate_agent;https://www.cian.ru/sale/flat/309086113/;Москва;6;9;2;85,5;32000000;-1;42,3 ;22,9 ;Сокол;Ленинградский проспект;Сокол;
Мост Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309086066/;Москва;3;12;2;47,0;12000000;1981;30,3 ;7 ;Люблино;Белореченская ;Люблино;
Century 21 Харлав;real_estate_agent;https://www.cian.ru/sale/flat/309086065/;Москва;15;17;2;54,0;15500000;1992;32,3 ;9,2 ;Митино;Пятницкое шоссе;Волоколакая;
ID 57249986;realtor;https://www.cian.ru/sale/flat/309086062/;Москва;1;3;1;41,3;8990000;-1;-1,0;6 ;Кунцево;5-я Мякининская ;Мякинино;
ID 902007;homeowner;https://www.cian.ru/sale/flat/309086010/;Москва;3;23;3;92,4;29999999;2005;54,6 ;7 ;Москворечье-Сабурово;Пролетарский проспект;Кантеровская;Миллион Алых Роз
Анна Иванникова;realtor;https://www.cian.ru/sale/flat/309085958/;Москва;6;8;2;52,1;22900000;1956;-1,0;5,8 ;Алексеевский;проспект Мира;ВДНХ;
Алексей Васильев;realtor;https://www.cian.ru/sale/flat/309085933/;Москва;2;5;2;44,0;13700000;1964;30 ;8 ;Преображенское;Большая Черкизовская ;Преображенская площадь;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/309085932/;Москва;6;6;2;136,0;47000000;-1;60 ;15 ;Ранки;Минская ;Минская;Золотые Ключи 1
ID 111619574;homeowner;https://www.cian.ru/sale/flat/309085917/;Москва;2;21;2;57,1;23300000;2023;30,7 ;12,5 ;Хорошевский; Зорге;Зорге;Рихард
ID 345383;realtor;https://www.cian.ru/sale/flat/309085870/;Москва;5;9;2;49,1;13850000;1968;29,2 ;6,8 ;Аэропорт; 8 Марта;Гражданская;
ID 123718053;homeowner;https://www.cian.ru/sale/flat/309085862/;Москва;12;12;1;39,0;10800000;1976;21 ;9 ;Чертаново Южное;Россошанский проезд;Улица Акадека Янгеля;
ID 31778522;realtor;https://www.cian.ru/sale/flat/309085857/;Москва;12;17;3;74,0;44300000;2019;50 ;18 ;Даниловский;набережная Марка Шагала;ЗИЛ;ЗИЛАРТ
ГК  LER GROUP;official_representative;https://www.cian.ru/sale/flat/309085850/;Москва;2;4;3;92,7;29478600;2014;-1,0;9 ;Покровское-Стрешнево;Летная ;Тушинская;
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/309085526/;Москва;3;8;3;84,0;33000000;1951;45 ;12 ;Мещанский;проспект Мира;Проспект Мира;
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309085510/;Москва;8;24;3;111,0;67500000;2008;59 ;15 ;Ранки;Мичуринский проспект;Лоносовский проспект;Квартал Шуваловский
