author_type;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;underground;price_per_sqm
real_estate_agent;Москва;22;22;1;143;8280000;1980;6;3;Тропарево-Никулино;Юго-Западная;57902
real_estate_agent;Москва;17;25;1;50;19500000;2005;25;17;Хорошево-Мневники;Бульвар Генерала Карбышева;390000
real_estate_agent;Москва;22;22;1;16;8880000;1980;8;3;Тропарево-Никулино;Юго-Западная;555000
real_estate_agent;Москва;3;33;1;37;15000000;2023;12;18;Очаково-Матвеевское;Аминьевская;405405
real_estate_agent;Москва;7;17;1;37;11700000;1991;19;8;Марьино;Марьино;316216
real_estate_agent;Москва;4;20;1;76;32164925;2024;28;21;Даниловский;Тульская;423223
realtor;Москва;6;9;1;33;11000000;1970;17;8;Коньково;Университет Дружбы Народов;333333
real_estate_agent;Химки;18;25;1;41;8490000;2009;18;10;;Молжаниново;207073
real_estate_agent;Химки;3;17;1;30;7800000;2020;15;9;;Химки;260000
real_estate_agent;Химки;11;25;1;41;8450000;2009;18;10;;Химки;206098
real_estate_agent;Химки;5;28;1;43;10400000;2014;20;12;мкр;;241860
real_estate_agent;Химки;15;25;1;41;8500000;-1;18;10;;Химки;207317
real_estate_agent;Химки;6;7;1;56;9200000;2017;15;19;;Химки;164286
real_estate_agent;Химки;3;17;1;41;8500000;2011;21;11;;Химки;207317
realtor;Химки;13;18;1;37;7500000;2016;20;8;;Химки;202703
real_estate_agent;Химки;14;25;1;45;8700000;2008;18;10;;Молжаниново;193333
realtor;Химки;24;25;1;41;8700000;2016;14;12;;Молжаниново;212195
realtor;Химки;24;25;1;41;8650000;2014;18;10;;Левобережная;210976
real_estate_agent;Химки;5;27;1;45;11000000;2016;18;18;;Молжаниново;244444
real_estate_agent;Химки;17;25;1;42;8700000;2007;18;10;;Химки;207143
real_estate_agent;Химки;7;17;1;36;9300000;2006;17;10;;Молжаниново;258333
real_estate_agent;Химки;17;25;1;41;8650000;-1;18;10;;Левобережная;210976
real_estate_agent;Химки;1;18;1;44;9500000;2016;-1;13;;Химки;215909
realtor;Химки;16;17;1;38;8800000;-1;-1;-1;мкр;;231579
realtor;Химки;6;10;1;35;8866000;2017;16;9;;Химки;253314
